root_1,10,86 16 9 9 9 001 05e 040 056 000 000 000 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,10,96 16 9 9 9 001 068 040 060 000 000 000 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,10,160 16 9 9 9 001 0a8 040 0a0 000 000 000 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,80,1 16 9 9 9 001 008 040 000 001 000 001 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,80,4 16 9 9 9 001 008 040 000 004 000 004 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,80,8 16 9 9 9 001 008 040 000 008 000 008 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,80,10 16 9 9 9 001 008 040 000 00a 000 00a 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,80,12 16 9 9 9 001 008 040 000 00c 000 00c 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,80,13 16 9 9 9 001 008 040 000 00d 000 00d 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,80,32 16 9 9 9 001 008 040 000 020 000 020 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,80,80 16 9 9 9 001 008 040 000 050 000 050 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,80,84 16 9 9 9 001 008 040 000 054 000 054 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,80,85 16 9 9 9 001 008 040 000 055 000 055 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,80,96 16 9 9 9 001 008 040 000 060 000 060 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,84,1 16 9 9 9 001 008 041 000 001 000 001 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,84,4 16 9 9 9 001 008 044 000 004 000 004 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,84,8 16 9 9 9 001 008 048 000 008 000 008 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,84,10 16 9 9 9 001 008 04a 000 00a 000 00a 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
root_1,84,12 16 9 9 9 001 008 04c 000 00c 000 00c 000 000 000 000 000 001 008 040 000 000 000 000 000 000 000 000 000 001 008 040 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 000 000 000 000 000 000 000 000 000 002 010 080 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100 000 000 000 000 000 000 000 000 000 004 020 100
