file,status,pa,pb,pc,pairs,coinc,nearmiss,maxc
matmul/dbcache/11a5b2dj4n/i45w265c34ef-000.tab,ok,0,1,3,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-011.tab,ok,3,1,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-005.tab,ok,4,0,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w219c346f-000.tab,ok,2,3,0,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w215c248g-000.tab,ok,4,0,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-029.tab,ok,2,1,0,3,0,0,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-001.tab,ok,2,1,1,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-015.tab,ok,3,1,2,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w239c36ef-000.tab,ok,1,3,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w229c38eg-000.tab,ok,3,0,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w191c23ci-005.tab,ok,4,0,2,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w239c238j-000.tab,ok,1,0,0,1,2,1,1
matmul/dbcache/11a5b2dj4n/i45w195c238h-000.tab,ok,3,2,0,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w227c23ci-009.tab,ok,2,2,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w223c349i-001.tab,ok,0,2,1,3,2,1,1
matmul/dbcache/11a5b2dj4n/i45w253c234g-000.tab,ok,2,2,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-014.tab,ok,3,0,2,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-000.tab,ok,2,1,2,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w225c23ci-006.tab,ok,2,0,0,2,0,0,1
matmul/dbcache/11a5b2dj4n/i45w197c23ci-002.tab,ok,3,0,2,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w235c38eh-000.tab,ok,4,1,0,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w257c238h-000.tab,ok,2,2,0,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w235c23ci-008.tab,ok,2,1,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w233c46ef-000.tab,ok,4,1,1,6,4,2,1
matmul/dbcache/11a5b2dj4n/i45w215c34ef-000.tab,ok,2,1,2,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w235c23ci-009.tab,ok,3,1,2,6,4,2,1
matmul/dbcache/11a5b2dj4n/i45w215c34ef-001.tab,ok,3,2,1,6,4,2,1
matmul/dbcache/11a5b2dj4n/i45w215c346d-000.tab,ok,0,2,2,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w215c347d-000.tab,ok,2,3,0,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w197c23ci-003.tab,ok,4,0,1,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w213c23ci-011.tab,ok,4,0,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-017.tab,ok,4,0,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-003.tab,ok,3,0,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w229c346f-000.tab,ok,2,2,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w213c23ci-005.tab,ok,3,0,1,4,0,0,1
matmul/dbcache/11a5b2dj4n/i45w199c48ae-002.tab,ok,2,0,0,2,0,0,1
matmul/dbcache/11a5b2dj4n/i45w249c359e-000.tab,ok,1,2,1,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w217c23ci-019.tab,ok,2,1,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w219c347g-000.tab,ok,1,1,0,2,2,1,1
matmul/dbcache/11a5b2dj4n/i45w227c239i-000.tab,ok,3,0,1,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w231c46dj-000.tab,ok,4,1,0,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w227c23ci-008.tab,ok,3,0,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w231c236i-000.tab,ok,2,2,2,6,4,2,1
matmul/dbcache/11a5b2dj4n/i45w191c23ci-004.tab,ok,4,0,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w245c238h-000.tab,ok,2,1,1,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-014.tab,ok,3,2,2,7,2,1,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-000.tab,ok,1,2,0,3,2,1,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-028.tab,ok,3,1,2,6,4,2,1
matmul/dbcache/11a5b2dj4n/i45w235c36gj-000.tab,ok,0,3,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w241c234g-000.tab,ok,2,2,2,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-016.tab,ok,3,1,2,6,4,2,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-002.tab,ok,2,2,2,6,4,2,1
matmul/dbcache/11a5b2dj4n/i45w237c37ag-000.tab,ok,2,1,1,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w223c346d-000.tab,ok,2,1,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w203c23ci-009.tab,ok,3,0,2,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w199c48ae-000.tab,ok,3,0,1,4,0,0,1
matmul/dbcache/11a5b2dj4n/i45w251c367g-000.tab,ok,3,1,0,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-015.tab,ok,4,0,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w213c23ci-013.tab,ok,4,0,2,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w213c23ci-007.tab,ok,4,0,1,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-001.tab,ok,3,1,2,6,0,0,1
matmul/dbcache/11a5b2dj4n/i45w231c346d-001.tab,ok,1,3,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w259c235e-000.tab,ok,2,1,1,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w247c23ci-001.tab,ok,2,0,1,3,6,3,1
matmul/dbcache/11a5b2dj4n/i45w197c23ci-000.tab,ok,3,0,1,4,0,0,1
matmul/dbcache/11a5b2dj4n/i45w253c346e-000.tab,ok,2,2,1,5,6,3,1
matmul/dbcache/11a5b2dj4n/i45w211c367g-000.tab,ok,0,2,1,3,0,0,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-016.tab,ok,3,0,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w225c23ci-010.tab,ok,3,0,1,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w225c23ci-004.tab,ok,2,1,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-002.tab,ok,1,1,2,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-015.tab,ok,2,1,2,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w237c368f-000.tab,ok,2,1,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-001.tab,ok,4,0,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w201c23ci-007.tab,ok,2,0,2,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w239c236g-000.tab,ok,1,2,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w243c367g-000.tab,ok,1,1,2,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-029.tab,ok,3,0,1,4,0,0,1
matmul/dbcache/11a5b2dj4n/i45w211c23ci-020.tab,ok,3,1,2,6,0,0,1
matmul/dbcache/11a5b2dj4n/i45w211c38eh-000.tab,ok,4,2,0,6,4,2,1
matmul/dbcache/11a5b2dj4n/i45w211c23ci-008.tab,ok,3,0,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-028.tab,ok,3,1,2,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w229c48ah-000.tab,ok,1,2,3,6,6,3,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-000.tab,ok,3,0,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w201c23ci-006.tab,ok,3,1,1,5,2,1,1
