idx,dims,k,shape,arm,result,seconds
213,"(4, 4, 9)",9,4x4x7,hydra_satsuma,TIMEOUT,298.4
213,"(4, 4, 9)",9,4x4x7,kissat,TIMEOUT,300.0
215,"(4, 4, 9)",9,4x4x8,cadical,TIMEOUT,300.0
215,"(4, 4, 9)",9,4x4x8,cadical_lex,UNSAT,97.8
215,"(4, 4, 9)",9,4x4x8,hydra_satsuma,TIMEOUT,298.4
215,"(4, 4, 9)",9,4x4x8,kissat,TIMEOUT,300.0
218,"(3, 6, 9)",10,3x6x9,cadical,TIMEOUT,300.0
218,"(3, 6, 9)",10,3x6x9,cadical_lex,UNSAT,267.0
218,"(3, 6, 9)",10,3x6x9,hydra_satsuma,TIMEOUT,298.3
218,"(3, 6, 9)",10,3x6x9,kissat,TIMEOUT,300.0
219,"(3, 6, 9)",10,3x6x8,cadical,TIMEOUT,300.0
219,"(3, 6, 9)",10,3x6x8,cadical_lex,UNSAT,133.3
219,"(3, 6, 9)",10,3x6x8,hydra_satsuma,TIMEOUT,298.4
219,"(3, 6, 9)",10,3x6x8,kissat,TIMEOUT,300.0
221,"(3, 6, 9)",10,3x6x8,cadical,TIMEOUT,300.0
221,"(3, 6, 9)",10,3x6x8,cadical_lex,UNSAT,153.2
221,"(3, 6, 9)",10,3x6x8,hydra_satsuma,TIMEOUT,298.3
221,"(3, 6, 9)",10,3x6x8,kissat,TIMEOUT,300.0
227,"(3, 6, 9)",10,3x6x9,cadical,TIMEOUT,300.0
227,"(3, 6, 9)",10,3x6x9,cadical_lex,UNSAT,166.9
227,"(3, 6, 9)",10,3x6x9,hydra_satsuma,TIMEOUT,298.4
227,"(3, 6, 9)",10,3x6x9,kissat,TIMEOUT,300.0
228,"(3, 6, 9)",10,3x6x8,cadical,TIMEOUT,300.0
228,"(3, 6, 9)",10,3x6x8,cadical_lex,TIMEOUT,300.0
228,"(3, 6, 9)",10,3x6x8,hydra_satsuma,TIMEOUT,298.3
228,"(3, 6, 9)",10,3x6x8,kissat,TIMEOUT,300.0
231,"(3, 6, 9)",10,3x6x8,cadical,TIMEOUT,300.0
231,"(3, 6, 9)",10,3x6x8,cadical_lex,UNSAT,129.8
231,"(3, 6, 9)",10,3x6x8,hydra_satsuma,TIMEOUT,298.3
231,"(3, 6, 9)",10,3x6x8,kissat,TIMEOUT,300.0
232,"(3, 6, 9)",10,3x6x8,cadical,TIMEOUT,300.0
232,"(3, 6, 9)",10,3x6x8,cadical_lex,UNSAT,171.2
232,"(3, 6, 9)",10,3x6x8,hydra_satsuma,TIMEOUT,298.4
232,"(3, 6, 9)",10,3x6x8,kissat,TIMEOUT,300.0
233,"(3, 6, 9)",10,3x6x9,cadical,TIMEOUT,300.0
233,"(3, 6, 9)",10,3x6x9,cadical_lex,TIMEOUT,300.0
233,"(3, 6, 9)",10,3x6x9,hydra_satsuma,TIMEOUT,298.3
233,"(3, 6, 9)",10,3x6x9,kissat,TIMEOUT,300.0
234,"(3, 6, 9)",10,3x6x8,cadical,TIMEOUT,300.0
234,"(3, 6, 9)",10,3x6x8,cadical_lex,UNSAT,218.4
